expense_id,restaurant_id,bills,vendors,wage_advance,repairs,sundries,amount,exp_date
57,1,248,75,217,814,79,2030,2024-02-26
58,1,4,174,294,671,83,1557,2024-02-27
59,1,336,75,664,649,82,2790,2024-02-28
60,1,863,66,968,151,57,2255,2024-02-29
61,1,136,50,297,606,85,1615,2024-03-01
62,1,830,134,17,799,43,2326,2024-03-02
63,1,205,89,628,567,10,1865,2024-03-03
64,1,272,63,455,266,45,1989,2024-03-04
65,1,530,178,877,376,58,2514,2024-03-05
66,1,605,46,232,857,84,2321,2024-03-06
67,1,398,94,959,140,54,1750,2024-03-07
68,1,953,194,594,609,100,3397,2024-03-08
69,1,963,132,344,278,35,1771,2024-03-09
70,1,190,160,178,262,81,1808,2024-03-10
71,1,332,126,644,557,29,2071,2024-03-11
72,1,958,13,523,5,7,2042,2024-03-12
73,1,675,32,235,351,80,1972,2024-03-13
74,1,330,172,117,867,99,1684,2024-03-14
75,1,579,179,440,553,57,2130,2024-03-15
76,1,439,12,956,730,42,2574,2024-03-16
77,1,385,88,568,346,37,1675,2024-03-17
78,1,165,44,150,298,23,1119,2024-03-18
79,1,863,86,953,208,99,2471,2024-03-19
80,1,147,72,373,423,20,1865,2024-03-20
81,1,589,13,460,278,36,2338,2024-03-21
82,1,923,58,688,945,3,3026,2024-03-22
83,1,693,176,415,314,6,2568,2024-03-23
84,1,467,197,418,285,62,1748,2024-03-24
85,1,4,196,782,17,21,1957,2024-03-25
86,1,540,55,23,910,64,1615,2024-03-26
87,1,409,177,178,23,64,1782,2024-03-27
88,1,183,200,693,524,5,1625,2024-03-28
89,1,56,131,726,224,94,1365,2024-03-29
90,1,1,58,637,634,11,1736,2024-03-30
91,1,843,183,359,95,84,2101,2024-03-31
92,1,100,158,928,411,24,1962,2024-04-01
93,1,625,29,575,752,83,2934,2024-04-02
94,1,575,114,706,281,48,2711,2024-04-03
95,1,380,77,825,795,36,2973,2024-04-04
96,1,671,193,47,196,98,2064,2024-04-05
97,1,515,73,541,610,32,2563,2024-04-06
98,1,873,69,614,785,54,2748,2024-04-07
99,1,204,68,888,178,44,1752,2024-04-08
100,1,562,174,963,412,40,2371,2024-04-09
101,1,315,89,70,928,45,2018,2024-04-10
102,1,175,190,838,561,50,2047,2024-04-11
103,1,418,91,227,498,50,1378,2024-04-12
104,1,722,137,618,79,14,1782,2024-04-13
105,1,950,72,559,712,35,3125,2024-04-14
106,1,5,33,883,92,20,1110,2024-04-15
107,1,979,80,626,844,44,3035,2024-04-16
108,1,75,74,160,19,53,1147,2024-04-17
109,1,247,110,688,19,59,1789,2024-04-18
110,1,688,186,185,415,91,2434,2024-04-19
111,1,238,19,656,891,39,2510,2024-04-20
112,1,326,30,438,483,76,1563,2024-04-21
113,1,713,37,29,735,64,1991,2024-04-22
114,1,41,45,216,463,43,1055,2024-04-23
115,1,98,74,153,63,63,553,2024-04-24
116,1,41,179,284,425,62,1820,2024-04-25
117,1,429,69,9,132,12,1357,2024-04-26
118,1,295,165,940,1618,78,3412,2024-04-27
119,1,530,199,95,651,54,1992,2024-04-28
120,1,743,128,545,948,31,2492,2024-04-29
121,1,367,30,948,913,90,2803,2024-04-30
122,1,214,147,349,435,2,1716,2024-05-01
123,1,663,153,238,948,64,2333,2024-05-02
124,1,199,200,894,136,18,1498,2024-05-03
125,1,469,166,677,798,2,2793,2024-05-04
126,1,812,51,960,595,22,2822,2024-05-05
127,1,940,53,648,974,11,3119,2024-05-06
128,1,963,90,405,421,76,2129,2024-05-07
129,1,772,190,883,15,45,2435,2024-05-08
130,1,406,50,147,697,55,2212,2024-05-09
131,1,920,57,291,737,7,2088,2024-05-10
132,1,826,52,653,790,92,2451,2024-05-11
133,1,681,166,105,628,78,1910,2024-05-12
134,1,450,19,8,508,4,990,2024-05-13
135,1,688,150,601,934,24,3379,2024-05-14
136,1,827,38,375,635,46,1996,2024-05-15
137,1,663,181,208,804,27,2640,2024-05-16
138,1,500,97,299,27,94,1407,2024-05-17
139,1,369,194,139,280,25,1952,2024-05-18
140,1,994,61,828,548,5,3323,2024-05-19
141,1,690,129,729,539,51,3108,2024-05-20
142,1,542,198,176,883,78,2509,2024-05-21
143,1,779,47,200,807,1,1935,2024-05-22
144,1,950,7,985,66,92,2610,2024-05-23
145,1,705,155,416,1,30,1703,2024-05-24
146,1,396,25,763,927,20,2792,2024-05-25
147,1,309,168,668,513,66,2701,2024-05-26
148,1,914,117,3,554,87,2203,2024-05-27
149,1,55,42,434,722,89,1452,2024-05-28
150,1,57,200,502,888,97,2282,2024-05-29
151,1,414,26,926,1373,98,3508,2024-05-30
152,1,104,80,208,730,38,2065,2024-05-31
153,1,4,194,724,849,66,2733,2024-06-01
154,1,953,101,300,715,48,3011,2024-06-02
155,1,941,86,346,194,78,1918,2024-06-03
156,1,605,144,896,311,81,2547,2024-06-04
157,1,628,177,855,430,100,2682,2024-06-05
158,1,946,45,150,129,37,1979,2024-06-06
159,1,340,128,210,78,69,1230,2024-06-07
160,1,879,133,666,859,10,2803,2024-06-08
161,1,467,77,172,435,6,1375,2024-06-09
162,1,412,124,853,1907,1,3832,2024-06-10
163,1,1000,125,898,750,57,3530,2024-06-11
164,1,442,171,722,121,22,1565,2024-06-12
165,1,694,83,694,79,41,1698,2024-06-13
166,1,477,156,607,655,48,2897,2024-06-14
167,1,46,168,402,850,7,2134,2024-06-15
168,1,79,19,595,385,47,1740,2024-06-16
169,1,583,71,883,742,21,2490,2024-06-17
170,1,152,68,292,944,37,1700,2024-06-18
171,1,814,183,271,329,14,1782,2024-06-19
172,1,623,57,553,999,33,2834,2024-06-20
173,1,146,104,433,181,76,1786,2024-06-21
174,1,631,0,319,95,46,1482,2024-06-22
175,1,16,164,424,222,69,1863,2024-06-23
176,1,368,48,984,632,12,2603,2024-06-24
177,1,802,75,830,527,4,2908,2024-06-25
178,1,553,50,607,321,78,1664,2024-06-26
179,1,868,64,933,640,21,3002,2024-06-27
180,1,876,139,938,543,57,3255,2024-06-28
181,1,801,116,795,10,82,2341,2024-06-29
182,1,284,155,833,803,26,2795,2024-06-30
183,1,873,172,49,244,64,1987,2024-07-01
184,1,67,95,279,697,94,2024,2024-07-02
185,1,284,21,232,648,31,1410,2024-07-03
186,1,858,26,563,420,33,2677,2024-07-04
187,1,415,50,816,98,52,1861,2024-07-05
188,1,160,76,209,114,24,589,2024-07-06
189,1,798,173,67,874,75,2690,2024-07-07
190,1,1,2,359,964,6,1612,2024-07-08
191,1,594,64,925,276,41,2095,2024-07-09
192,1,82,169,198,62,83,727,2024-07-10
193,1,152,181,18,188,9,734,2024-07-11
194,1,370,31,579,62,9,1608,2024-07-12
195,1,271,41,401,681,68,2392,2024-07-13
196,1,768,41,742,838,44,2911,2024-07-14
197,1,930,177,71,183,33,1989,2024-07-15
198,1,177,124,835,101,11,1503,2024-07-16
199,1,277,70,535,222,59,1584,2024-07-17
200,1,559,140,414,753,10,2750,2024-07-18
201,1,372,142,193,552,100,1443,2024-07-19
202,1,710,108,105,157,35,1608,2024-07-20
203,1,579,166,795,845,65,3246,2024-07-21
204,1,126,27,114,979,83,2177,2024-07-22
205,1,992,183,10,381,94,2583,2024-07-23
206,1,601,26,241,225,36,1664,2024-07-24
207,1,884,136,651,350,90,2586,2024-07-25
208,1,211,159,761,512,73,2213,2024-07-26
209,1,447,12,609,695,73,2325,2024-07-27
210,1,125,51,441,948,86,1717,2024-07-28
211,1,636,160,845,807,8,3257,2024-07-29
212,1,668,160,260,126,90,1714,2024-07-30
213,1,839,45,106,1385,79,3017,2024-07-31
214,1,146,5,818,64,95,1294,2024-08-01
215,1,690,122,33,564,29,1941,2024-08-02
216,1,174,23,8,565,86,1407,2024-08-03
217,1,686,114,354,528,6,2129,2024-08-04
218,1,227,14,604,539,52,2407,2024-08-05
219,1,959,133,246,656,92,2894,2024-08-06
220,1,397,75,974,122,97,2059,2024-08-07
221,1,764,193,66,360,79,2185,2024-08-08
222,1,681,51,155,254,9,1912,2024-08-09
223,1,351,179,85,314,48,1807,2024-08-10
224,1,599,184,533,551,45,2010,2024-08-11
225,1,374,173,923,351,80,2458,2024-08-12
226,1,875,134,305,891,92,2796,2024-08-13
227,1,495,36,932,543,17,2135,2024-08-14
228,1,431,48,737,575,41,2239,2024-08-15
229,1,886,113,845,24,42,2252,2024-08-16
230,1,352,59,992,166,96,2038,2024-08-17
231,1,326,165,26,415,88,1971,2024-08-18
232,1,637,182,783,990,80,3584,2024-08-19
233,1,100,86,919,830,28,2267,2024-08-20
234,1,421,61,611,24,35,1164,2024-08-21
235,1,404,154,821,38,54,2226,2024-08-22
236,1,764,12,307,462,21,1849,2024-08-23
237,1,770,103,923,981,8,3127,2024-08-24
238,1,159,77,920,383,75,2252,2024-08-25
239,1,57,191,384,748,70,2212,2024-08-26
240,1,26,2,285,341,70,1193,2024-08-27
241,1,305,56,234,143,6,1566,2024-08-28
242,1,803,165,550,794,32,2421,2024-08-29
243,1,613,80,292,565,100,1770,2024-08-30
244,1,640,62,779,67,21,1954,2024-08-31
245,1,380,198,366,849,49,2017,2024-09-01
246,1,166,15,272,643,93,1473,2024-09-02
247,1,318,181,416,85,44,1140,2024-09-03
248,1,601,49,460,80,94,1317,2024-09-04
249,1,293,151,87,306,55,1331,2024-09-05
250,1,50,94,536,204,52,1017,2024-09-06
251,1,649,173,356,543,32,1907,2024-09-07
252,1,294,125,882,99,12,1992,2024-09-08
253,1,553,19,291,676,89,2409,2024-09-09
254,1,484,44,844,1537,43,3422,2024-09-10
255,1,365,186,622,1722,67,3957,2024-09-11
256,1,547,26,546,516,25,1879,2024-09-12
257,1,263,106,653,209,25,2215,2024-09-13
258,1,922,101,915,73,61,2363,2024-09-14
259,1,49,164,555,834,87,1925,2024-09-15
260,1,886,90,631,130,97,2792,2024-09-16
261,1,180,57,197,722,52,1903,2024-09-17
262,1,539,9,987,626,20,2852,2024-09-18
263,1,712,59,275,491,82,1686,2024-09-19
264,1,371,119,177,812,51,2480,2024-09-20
265,1,766,138,808,585,63,2573,2024-09-21
266,1,655,129,691,282,95,2298,2024-09-22
267,1,26,57,466,890,92,2342,2024-09-23
268,1,250,72,52,386,42,1062,2024-09-24
269,1,738,56,220,321,17,1519,2024-09-25
270,1,691,66,864,748,78,2722,2024-09-26
271,1,816,200,45,226,93,2062,2024-09-27
272,1,834,178,871,918,26,3195,2024-09-28
273,1,548,46,532,370,86,1899,2024-09-29
274,1,313,20,267,174,19,1128,2024-09-30
275,1,688,62,621,378,94,2750,2024-10-01
276,1,40,40,799,547,56,2339,2024-10-02
277,1,401,143,359,890,45,2121,2024-10-03
278,1,874,156,714,589,28,2857,2024-10-04
279,1,242,136,569,435,91,2117,2024-10-05
280,1,309,25,327,961,6,2432,2024-10-06
281,1,175,68,187,724,15,1171,2024-10-07
282,1,991,188,824,905,85,3116,2024-10-08
283,1,468,49,393,168,51,2057,2024-10-09
284,1,485,183,335,610,79,2262,2024-10-10
285,1,452,193,150,742,37,2251,2024-10-11
286,1,791,2,363,310,55,2400,2024-10-12
287,1,972,87,252,798,21,2777,2024-10-13
288,1,392,15,576,970,90,2282,2024-10-14
289,1,518,37,964,887,58,2519,2024-10-15
290,1,809,143,307,611,17,2681,2024-10-16
291,1,138,25,643,275,3,1471,2024-10-17
292,1,231,15,763,324,33,1886,2024-10-18
293,1,524,91,95,99,65,1099,2024-10-19
294,1,333,177,484,327,38,1723,2024-10-20
295,1,899,136,653,548,62,2440,2024-10-21
296,1,661,173,796,159,41,2332,2024-10-22
297,1,256,58,846,661,59,2442,2024-10-23
298,1,302,78,571,844,94,2863,2024-10-24
299,1,367,106,387,496,88,1676,2024-10-25
300,1,66,124,187,830,57,1527,2024-10-26
301,1,22,183,51,45,82,1149,2024-10-27
302,1,41,134,543,746,65,2322,2024-10-28
303,1,480,75,697,822,54,2666,2024-10-29
304,1,376,92,645,112,66,1526,2024-10-30
305,1,426,39,783,499,56,2230,2024-10-31
306,1,292,158,781,930,32,3109,2024-11-01
307,1,981,189,965,272,91,3120,2024-11-02
308,1,943,142,733,302,89,2468,2024-11-03
309,1,561,71,975,335,65,2965,2024-11-04
310,1,980,33,345,675,72,2737,2024-11-05
311,1,161,101,134,479,74,1892,2024-11-06
312,1,680,126,717,224,48,2390,2024-11-07
313,1,837,134,310,602,64,2338,2024-11-08
314,1,360,55,361,874,98,2512,2024-11-09
315,1,540,186,420,354,33,2325,2024-11-10
316,1,454,14,365,585,77,1842,2024-11-11
317,1,107,59,92,480,31,1014,2024-11-12
318,1,680,142,851,248,60,2797,2024-11-13
319,1,398,59,280,922,36,2566,2024-11-14
320,1,506,138,377,522,51,2320,2024-11-15
321,1,458,43,94,990,62,1889,2024-11-16
322,1,6,78,988,478,47,1932,2024-11-17
323,1,286,182,582,669,8,2479,2024-11-18
324,1,884,10,752,381,10,2422,2024-11-19
325,1,897,159,808,466,56,3280,2024-11-20
326,1,434,177,12,247,69,1082,2024-11-21
327,1,20,66,750,836,100,2355,2024-11-22
328,1,811,79,898,438,39,2606,2024-11-23
329,1,585,46,651,195,22,1609,2024-11-24
330,1,396,15,793,468,4,2613,2024-11-25
331,1,27,95,682,241,70,1367,2024-11-26
332,1,159,123,330,311,89,1823,2024-11-27
333,1,926,165,825,853,14,3073,2024-11-28
334,1,905,63,530,257,66,2634,2024-11-29
335,1,828,185,105,892,82,2817,2024-11-30
336,1,790,93,543,654,83,2301,2024-12-01
337,1,858,63,784,432,53,2799,2024-12-02
338,1,266,44,351,198,30,1451,2024-12-03
339,1,120,180,125,422,53,1386,2024-12-04
340,1,824,173,718,302,25,2202,2024-12-05
341,1,608,120,123,271,23,2046,2024-12-06
342,1,587,1,493,598,47,2602,2024-12-07
343,1,101,180,570,179,30,1945,2024-12-08
344,1,484,188,287,418,85,1924,2024-12-09
345,1,81,106,631,529,27,1771,2024-12-10
346,1,430,28,570,636,37,2660,2024-12-11
347,1,933,1,315,653,34,2598,2024-12-12
348,1,825,198,227,443,54,2656,2024-12-13
349,1,320,151,252,195,7,1049,2024-12-14
350,1,777,60,728,429,42,2415,2024-12-15
351,1,765,180,557,905,18,3132,2024-12-16
352,1,534,61,427,643,12,2157,2024-12-17
353,1,353,100,300,49,58,1167,2024-12-18
354,1,275,33,307,955,1,1702,2024-12-19
355,1,312,68,141,16,8,816,2024-12-20
356,1,841,118,331,177,19,2010,2024-12-21
357,1,323,119,848,799,41,3103,2024-12-22
358,1,593,49,988,932,36,2956,2024-12-23
359,1,645,168,246,619,13,2035,2024-12-24
360,1,678,31,167,280,64,2206,2024-12-25
361,1,623,191,191,876,36,2736,2024-12-26
362,1,226,37,952,374,23,1877,2024-12-27
363,1,624,51,910,732,32,3141,2024-12-28
364,1,184,57,589,314,70,1782,2024-12-29
365,1,763,158,298,987,75,3058,2024-12-30
366,2,546,180,591,597,56,2300,2024-01-01
367,2,938,158,141,607,17,2416,2024-01-02
368,2,346,28,58,221,65,1603,2024-01-03
369,2,149,150,82,643,11,1283,2024-01-04
370,2,906,172,929,141,70,3122,2024-01-05
371,2,464,113,968,893,39,3471,2024-01-06
372,2,101,147,479,610,79,2385,2024-01-07
373,2,473,5,222,415,71,1209,2024-01-08
374,2,528,144,690,881,81,3247,2024-01-09
375,2,12,8,186,1218,60,2235,2024-01-10
376,2,394,125,325,260,56,1645,2024-01-11
377,2,866,34,227,608,39,2685,2024-01-12
378,2,398,152,7,549,69,2154,2024-01-13
379,2,570,112,244,197,39,1365,2024-01-14
380,2,852,120,642,550,28,2422,2024-01-15
381,2,345,29,565,392,1,1479,2024-01-16
382,2,361,54,731,437,82,1958,2024-01-17
383,2,780,90,759,786,68,3232,2024-01-18
384,2,68,97,702,369,53,1688,2024-01-19
385,2,917,49,215,901,24,2221,2024-01-20
386,2,732,134,300,948,19,3014,2024-01-21
387,2,754,190,353,636,89,2588,2024-01-22
388,2,617,186,651,686,83,2656,2024-01-23
389,2,928,187,583,592,75,3244,2024-01-24
390,2,185,159,159,432,42,1775,2024-01-25
391,2,980,83,384,1734,99,3378,2024-01-26
392,2,148,80,917,79,46,1462,2024-01-27
393,2,637,68,902,414,53,2590,2024-01-28
394,2,525,69,461,922,64,2307,2024-01-29
395,2,275,120,188,937,48,1663,2024-01-30
396,2,737,129,466,219,58,1927,2024-01-31
397,2,268,200,955,363,30,1946,2024-02-01
398,2,384,160,564,885,96,2231,2024-02-02
399,2,202,115,54,408,21,996,2024-02-03
400,2,259,31,772,96,41,2154,2024-02-04
401,2,167,65,927,891,35,2900,2024-02-05
402,2,419,65,369,518,56,2295,2024-02-06
403,2,212,42,626,285,4,1393,2024-02-07
404,2,407,40,823,60,36,1741,2024-02-08
405,2,367,40,899,792,48,2393,2024-02-09
406,2,665,77,15,282,5,1258,2024-02-10
407,2,675,34,48,231,96,1161,2024-02-11
408,2,551,107,938,183,51,2358,2024-02-12
409,2,90,130,214,549,4,1878,2024-02-13
410,2,226,142,557,105,92,1734,2024-02-14
411,2,253,120,572,978,94,2546,2024-02-15
412,2,70,145,623,995,5,2018,2024-02-16
413,2,977,147,572,422,20,2673,2024-02-17
414,2,392,189,562,191,56,1850,2024-02-18
415,2,755,107,219,950,84,2889,2024-02-19
416,2,585,51,434,1685,84,3487,2024-02-20
417,2,554,143,916,727,82,2546,2024-02-21
418,2,169,4,775,485,62,2077,2024-02-22
419,2,478,188,219,77,5,1370,2024-02-23
420,2,398,191,412,509,55,2034,2024-02-24
421,2,643,130,946,633,100,3178,2024-02-25
422,2,275,133,826,926,62,2995,2024-02-26
423,2,981,129,512,973,75,3226,2024-02-27
424,2,85,2,43,554,15,940,2024-02-28
425,2,933,49,91,393,3,2195,2024-02-29
426,2,212,120,201,746,62,1827,2024-03-01
427,2,505,92,397,316,44,1563,2024-03-02
428,2,531,105,651,36,34,1566,2024-03-03
429,2,895,166,428,914,59,2490,2024-03-04
430,2,713,133,906,278,41,2662,2024-03-05
431,2,715,143,99,136,9,1264,2024-03-06
432,2,53,160,276,636,40,1966,2024-03-07
433,2,596,49,869,776,51,3074,2024-03-08
434,2,215,143,32,43,63,1384,2024-03-09
435,2,486,93,825,389,5,2738,2024-03-10
436,2,742,122,777,105,19,2347,2024-03-11
437,2,549,159,412,44,24,2037,2024-03-12
438,2,122,185,133,706,27,2066,2024-03-13
439,2,57,178,345,300,22,1407,2024-03-14
440,2,276,180,364,843,6,2379,2024-03-15
441,2,53,107,613,926,31,2597,2024-03-16
442,2,702,181,782,289,37,2766,2024-03-17
443,2,224,196,198,948,10,2210,2024-03-18
444,2,168,22,709,338,80,1882,2024-03-19
445,2,762,152,586,686,30,2700,2024-03-20
446,2,977,148,103,70,89,2148,2024-03-21
447,2,775,7,152,419,55,2406,2024-03-22
448,2,918,64,422,888,5,2456,2024-03-23
449,2,915,129,691,220,35,2358,2024-03-24
450,2,323,190,188,344,61,1863,2024-03-25
451,2,940,35,145,53,11,1795,2024-03-26
452,2,359,92,717,608,49,2628,2024-03-27
453,2,550,15,71,827,57,2435,2024-03-28
454,2,308,199,629,604,17,2062,2024-03-29
455,2,115,27,770,989,81,2740,2024-03-30
456,2,298,149,977,840,99,2880,2024-03-31
457,2,555,151,448,228,76,2284,2024-04-01
458,2,320,125,393,282,35,1490,2024-04-02
459,2,776,85,402,485,5,1986,2024-04-03
460,2,477,136,24,380,40,1193,2024-04-04
461,2,221,144,858,672,39,2334,2024-04-05
462,2,166,56,420,425,51,1176,2024-04-06
463,2,336,149,929,292,67,2109,2024-04-07
464,2,548,51,808,117,27,2357,2024-04-08
465,2,322,84,174,45,10,1462,2024-04-09
466,2,909,57,143,523,55,1890,2024-04-10
467,2,229,53,247,710,16,1607,2024-04-11
468,2,295,179,896,978,55,2494,2024-04-12
469,2,547,149,673,99,64,2216,2024-04-13
470,2,793,200,991,397,26,3238,2024-04-14
471,2,216,128,385,110,48,1084,2024-04-15
472,2,880,90,306,236,76,1924,2024-04-16
473,2,212,67,948,762,23,2926,2024-04-17
474,2,175,80,915,694,28,2218,2024-04-18
475,2,712,154,57,948,20,2752,2024-04-19
476,2,233,90,19,413,16,1144,2024-04-20
477,2,414,142,44,887,2,2257,2024-04-21
478,2,322,91,118,728,22,1665,2024-04-22
479,2,862,68,137,137,61,1295,2024-04-23
480,2,460,27,980,347,46,2783,2024-04-24
481,2,923,58,88,123,39,1406,2024-04-25
482,2,648,77,588,573,71,2783,2024-04-26
483,2,932,93,13,217,85,1837,2024-04-27
484,2,704,104,331,992,73,2606,2024-04-28
485,2,760,184,66,30,55,1515,2024-04-29
486,2,778,69,637,852,53,2442,2024-04-30
487,2,584,12,272,190,83,1972,2024-05-01
488,2,284,161,733,462,19,2315,2024-05-02
489,2,606,25,250,768,24,2261,2024-05-03
490,2,813,113,369,616,72,2630,2024-05-04
491,2,374,80,111,1515,85,2730,2024-05-05
492,2,490,116,600,518,49,2345,2024-05-06
493,2,4,58,572,629,43,1392,2024-05-07
494,2,914,15,88,679,65,2669,2024-05-08
495,2,120,14,547,288,68,1700,2024-05-09
496,2,784,128,49,625,53,2118,2024-05-10
497,2,136,66,771,272,97,2287,2024-05-11
498,2,860,194,200,399,65,1866,2024-05-12
499,2,429,132,473,98,76,1886,2024-05-13
500,2,618,106,740,751,59,2701,2024-05-14
501,2,840,90,470,457,14,2772,2024-05-15
502,2,696,55,26,617,46,2322,2024-05-16
503,2,894,23,849,440,96,2439,2024-05-17
504,2,22,122,18,515,70,1154,2024-05-18
505,2,26,101,254,438,10,1195,2024-05-19
506,2,711,95,202,312,79,2298,2024-05-20
507,2,591,79,100,309,68,1402,2024-05-21
508,2,153,160,135,420,58,1065,2024-05-22
509,2,62,135,658,81,72,1808,2024-05-23
510,2,218,9,946,942,58,2174,2024-05-24
511,2,584,26,480,994,5,2093,2024-05-25
512,2,346,167,781,933,78,3122,2024-05-26
513,2,44,127,193,155,4,703,2024-05-27
514,2,709,19,744,375,69,1939,2024-05-28
515,2,295,174,878,172,8,2009,2024-05-29
516,2,870,165,317,987,91,3400,2024-05-30
517,2,453,196,443,229,99,1853,2024-05-31
518,2,340,138,604,83,76,1324,2024-06-01
519,2,294,138,782,10,42,1279,2024-06-02
520,2,865,71,360,846,51,2267,2024-06-03
521,2,526,71,379,525,39,2312,2024-06-04
522,2,259,3,94,921,93,1778,2024-06-05
523,2,457,7,19,416,34,1415,2024-06-06
524,2,938,15,466,943,64,3078,2024-06-07
525,2,778,2,546,452,44,2207,2024-06-08
526,2,759,27,721,873,19,2858,2024-06-09
527,2,99,136,714,521,63,1772,2024-06-10
528,2,805,123,610,42,89,1832,2024-06-11
529,2,135,122,357,408,93,1353,2024-06-12
530,2,541,18,67,903,45,1876,2024-06-13
531,2,107,42,878,394,34,2046,2024-06-14
532,2,872,182,205,201,9,1678,2024-06-15
533,2,424,118,323,629,76,2419,2024-06-16
534,2,423,66,911,426,30,2618,2024-06-17
535,2,321,67,802,218,73,1902,2024-06-18
536,2,620,62,889,734,50,2821,2024-06-19
537,2,616,130,905,706,10,2725,2024-06-20
538,2,924,54,544,464,24,2857,2024-06-21
539,2,978,12,153,508,90,2209,2024-06-22
540,2,604,84,109,655,21,2024,2024-06-23
541,2,843,140,987,124,88,2285,2024-06-24
542,2,263,13,131,944,66,2123,2024-06-25
543,2,187,98,397,713,2,2053,2024-06-26
544,2,691,5,520,752,19,2510,2024-06-27
545,2,629,60,675,760,64,2201,2024-06-28
546,2,736,19,833,22,46,1773,2024-06-29
547,2,16,162,949,975,25,2221,2024-06-30
548,2,563,162,361,627,1,2158,2024-07-01
549,2,804,145,287,472,34,2641,2024-07-02
550,2,742,33,69,544,75,2264,2024-07-03
551,2,969,126,404,987,100,3023,2024-07-04
552,2,348,112,218,290,98,1751,2024-07-05
553,2,215,147,29,580,97,1805,2024-07-06
554,2,405,162,108,192,65,1485,2024-07-07
555,2,563,27,777,20,37,1847,2024-07-08
556,2,389,17,678,761,83,2338,2024-07-09
557,2,851,166,69,673,2,2276,2024-07-10
558,2,89,89,248,148,100,1451,2024-07-11
559,2,277,38,78,375,45,1050,2024-07-12
560,2,884,24,183,102,19,2185,2024-07-13
561,2,313,77,90,724,86,1716,2024-07-14
562,2,814,178,621,1806,54,4011,2024-07-15
563,2,445,123,149,572,53,1987,2024-07-16
564,2,327,92,924,953,93,2848,2024-07-17
565,2,661,143,519,718,12,2497,2024-07-18
566,2,301,195,244,669,28,2030,2024-07-19
567,2,840,14,351,890,93,2669,2024-07-20
568,2,627,6,73,366,94,1234,2024-07-21
569,2,943,111,98,998,80,2239,2024-07-22
570,2,770,178,464,312,8,1791,2024-07-23
571,2,742,16,320,401,23,1513,2024-07-24
572,2,728,58,432,917,75,2673,2024-07-25
573,2,874,193,835,558,62,3275,2024-07-26
574,2,618,28,274,139,25,1188,2024-07-27
575,2,153,62,754,697,38,1709,2024-07-28
576,2,102,44,656,418,8,1358,2024-07-29
577,2,596,123,364,639,48,2338,2024-07-30
578,2,255,140,787,926,89,2281,2024-07-31
579,2,884,185,627,334,11,2359,2024-08-01
