sale_id,restaurant_id,creditcard_tip,drinks_payment,food_payment,other_payment,service_charges,delivery_charges,date
85,1,4.73,1287.1,3260.2,648.2,192.89,133.77,2024-03-25
86,1,7.12,1586.06,2942.19,610.19,175.41,163.05,2024-03-26
87,1,2.63,1713.92,2721.76,839.26,195.11,137.38,2024-03-27
88,1,1.94,1496.6,3211.98,762.07,173.12,200.79999999999998,2024-03-28
89,1,3.9,1543.6200000000001,3017.5,687.54,148.75,227.36,2024-03-29
90,1,5.66,1453.33,2932.57,765.52,129.6,255.93,2024-03-30
91,1,8.15,1738.71,2884.83,711.17,180.93,171.64,2024-03-31
92,1,7.2,1364.48,2648.44,883.16,143.14,203.34,2024-04-01
93,1,9.72,1452.85,2816.91,873.15,121.33,271.66,2024-04-02
94,1,9.91,1642.01,3069.85,822.93,163.53,226.45,2024-04-03
95,1,7.47,1677.32,2835.13,704.13,103.94,313.79,2024-04-04
96,1,3.64,1318.75,2926.82,739.98,116.45,265.64,2024-04-05
97,1,9.04,1109.86,2993.38,721.47,143.99,194.54,2024-04-06
98,1,3.15,1418.67,3379.2,754.47,175.71,203.8,2024-04-07
99,1,5.56,1555.75,2797.49,775.11,135.3,242.25,2024-04-08
100,1,3.87,1711.02,2992.69,687.84,156.05,227.09,2024-04-09
101,1,6.52,1719.3799999999999,3124.2599999999998,730.55,156.22,245.01,2024-04-10
102,1,5.47,1266.8600000000001,2385.84,746.0600000000001,163.2,113.47,2024-04-11
103,1,6.1,1606.61,2976.22,723.25,136.0,258.64,2024-04-12
104,1,6.68,1474.33,3006.56,760.77,139.72,244.74,2024-04-13
105,1,7.92,1332.73,2510.2200000000003,618.0,162.87,120.4,2024-04-14
106,1,4.35,1673.58,3088.35,774.72,154.21,245.32,2024-04-15
107,1,4.69,1132.1299999999999,3310.77,732.35,168.93,179.67,2024-04-16
108,1,9.12,1228.17,3213.02,714.22,146.98,221.56,2024-04-17
109,1,7.4,1696.34,2779.49,887.5,209.16,118.06,2024-04-18
110,1,7.42,1249.4,3045.99,795.0,135.15,238.76,2024-04-19
111,1,3.44,1303.74,3729.65,762.87,162.85,253.93,2024-04-20
112,1,2.95,1344.3899999999999,3090.7799999999997,851.5600000000001,160.24,208.22,2024-04-21
113,1,4.42,1126.04,2980.05,785.87,112.4,264.40999999999997,2024-04-22
114,1,3.94,1629.28,2807.8,572.86,175.09,150.8,2024-04-23
115,1,3.82,1420.78,2745.55,673.88,150.2,183.62,2024-04-24
116,1,3.29,1504.36,3304.49,735.84,169.83,214.77,2024-04-25
117,1,4.86,1559.64,3088.5099999999998,739.65,156.2,226.41,2024-04-26
118,1,7.22,1626.46,2731.66,679.7,136.85,230.12,2024-04-27
119,1,8.4,1782.15,2744.15,732.16,162.3,201.27,2024-04-28
120,1,1.97,1448.1200000000001,3211.06,707.3,215.03,106.55,2024-04-29
121,1,7.83,1387.86,2986.21,817.22,85.12,348.9,2024-04-30
122,1,9.7,1510.95,3167.65,639.04,144.92,241.92,2024-05-01
123,1,5.08,1397.52,3268.97,674.55,115.06,304.0,2024-05-02
124,1,5.4,1404.59,3415.17,760.17,199.94,158.12,2024-05-03
125,1,6.31,1663.72,3172.89,764.42,139.95,280.16,2024-05-04
126,1,3.62,1394.66,3058.8,617.23,137.05,232.94,2024-05-05
127,1,2.99,1365.05,2756.32,690.02,141.31,198.54,2024-05-06
128,1,6.29,1703.03,2880.19,863.83,171.35,202.0,2024-05-07
129,1,3.33,1239.46,2993.86,764.0699999999999,97.19,305.39,2024-05-08
130,1,3.42,1648.3799999999999,2863.84,796.18,179.13,172.56,2024-05-09
131,1,6.65,1781.67,3245.47,803.52,206.32,170.4,2024-05-10
132,1,5.96,1650.76,2541.52,729.58,134.55,223.05,2024-05-11
133,1,6.19,1673.26,2973.36,815.82,165.33,215.56,2024-05-12
134,1,5.39,1420.74,2670.35,830.94,152.94,186.32,2024-05-13
135,1,1.94,1470.32,3579.77,732.32,155.10999999999999,268.02,2024-05-14
136,1,2.44,1425.59,2588.88,664.65,83.9,300.1,2024-05-15
137,1,3.97,1706.32,2791.12,772.91,160.27,206.49,2024-05-16
138,1,6.76,1461.8,3228.41,856.77,136.28,282.15,2024-05-17
139,1,8.07,1498.0,3642.2599999999998,769.94,139.24,312.58,2024-05-18
140,1,1.49,1317.6299999999999,3231.31,669.21,155.19,211.44,2024-05-19
141,1,3.05,1542.99,2996.95,754.42,139.05,251.35,2024-05-20
142,1,2.07,1382.9,2625.43,753.69,174.5,127.15,2024-05-21
143,1,6.93,1288.46,2997.7599999999998,755.4,155.28,193.64,2024-05-22
144,1,2.25,1220.44,2574.08,591.43,102.26,234.07,2024-05-23
145,1,9.68,1708.82,2772.87,663.17,156.44,201.62,2024-05-24
146,1,8.31,1397.65,2770.17,762.88,174.25,144.63,2024-05-25
147,1,1.44,1446.27,2864.99,719.22,152.66,197.76,2024-05-26
148,1,4.34,1642.52,3265.86,708.91,167.98,225.77,2024-05-27
149,1,2.73,1437.2,3321.2599999999998,775.13,187.03,179.32,2024-05-28
150,1,6.97,1513.76,2791.14,762.23,195.89000000000001,114.93,2024-05-29
151,1,4.05,1603.77,2794.82,746.5,128.17,258.17,2024-05-30
152,1,8.47,1507.85,2725.86,665.03,145.34,199.19,2024-05-31
153,1,7.19,1626.8799999999999,2775.91,535.99,144.48,204.93,2024-06-01
154,1,3.62,1663.22,2538.11,555.0,160.60999999999999,154.44,2024-06-02
155,1,4.5,1401.42,2989.26,861.12,132.94,259.33,2024-06-03
156,1,7.88,1357.82,2508.72,799.49,166.4,133.79,2024-06-04
157,1,4.37,1464.95,2906.94,898.4300000000001,128.94,269.18,2024-06-05
158,1,0.14,1541.91,3250.93,578.0,177.95,181.19,2024-06-06
159,1,1.45,1223.96,2526.66,632.58,119.12,200.08,2024-06-07
160,1,3.36,1677.61,2922.06,711.31,170.38,190.35,2024-06-08
161,1,7.85,1378.53,3390.06,739.44,213.87,123.08,2024-06-09
162,1,2.67,1421.79,2899.33,726.79,159.06,186.74,2024-06-10
163,1,3.71,1367.47,2465.86,696.11,107.71,237.54,2024-06-11
164,1,5.85,1303.21,3047.48,464.27,118.06,245.39,2024-06-12
165,1,3.92,1546.72,2792.45,776.26,159.96,191.62,2024-06-13
166,1,0.46,1506.04,3660.79,808.07,211.23,175.03,2024-06-14
167,1,4.94,1452.49,3406.24,717.5,160.89000000000001,235.85,2024-06-15
168,1,7.34,1609.99,3354.14,623.75,141.47,275.86,2024-06-16
169,1,9.88,1260.58,3259.35,850.69,139.16,258.78,2024-06-17
170,1,1.31,1504.46,2951.29,805.41,153.72,218.66,2024-06-18
171,1,5.62,1344.71,2587.94,681.23,83.75,293.90999999999997,2024-06-19
172,1,2.78,1499.84,3300.63,633.86,173.53,196.35,2024-06-20
173,1,1.34,1273.33,2493.9,626.2,106.02,227.34,2024-06-21
174,1,9.92,1753.66,3315.15,786.79,171.31,242.97,2024-06-22
175,1,7.19,1422.63,3417.0299999999997,690.03,191.13,170.72,2024-06-23
176,1,2.3,1439.29,3654.22,706.9,179.28,221.49,2024-06-24
177,1,2.77,1286.69,3484.36,560.76,179.31,174.52,2024-06-25
178,1,4.21,1232.92,3438.36,808.12,130.79,286.4,2024-06-26
179,1,7.27,1612.2,3049.87,842.9,203.19,144.07999999999998,2024-06-27
180,1,6.55,1565.91,2412.2599999999998,642.52,163.92,134.24,2024-06-28
181,1,4.85,1554.89,3039.85,672.98,148.58,229.59,2024-06-29
182,1,3.11,1429.46,2655.81,792.4,138.59,210.55,2024-06-30
183,1,4.07,1491.22,2931.69,955.1899999999999,167.08,203.65,2024-07-01
184,1,4.06,1357.75,3174.04,581.27,176.2,158.93,2024-07-02
185,1,6.66,1684.01,2960.08,710.9300000000001,187.02,161.49,2024-07-03
186,1,4.81,1502.4,2905.4700000000003,669.03,186.67,134.34,2024-07-04
187,1,1.98,1534.51,2622.94,749.42,172.18,146.31,2024-07-05
188,1,8.75,1479.77,3361.7,806.37,158.82999999999998,247.17,2024-07-06
189,1,0.49,1405.94,3268.77,768.47,196.45,151.42000000000002,2024-07-07
190,1,0.54,1518.72,2813.53,767.31,167.65,174.65,2024-07-08
191,1,5.29,1565.28,2547.92,671.79,126.86,224.76,2024-07-09
192,1,6.89,1903.9,2840.24,861.9499999999999,176.72,207.16,2024-07-10
193,1,1.18,1568.45,2921.3,926.97,141.92,257.84,2024-07-11
194,1,3.56,1425.43,3177.42,797.11,157.83,224.32,2024-07-12
195,1,9.16,1314.25,3012.82,746.8100000000001,131.41,244.56,2024-07-13
196,1,5.37,1310.75,3502.95,582.3,152.47,234.67,2024-07-14
197,1,3.56,1310.59,3470.65,721.36,144.77,260.74,2024-07-15
198,1,5.26,1663.3,3409.3,668.01,133.5,307.06,2024-07-16
199,1,1.55,1537.65,3402.88,651.39,177.0,205.15,2024-07-17
200,1,9.76,1546.92,2926.2400000000002,635.44,148.07,214.77,2024-07-18
201,1,7.51,1684.44,3226.59,888.33,180.06,219.79,2024-07-19
202,1,5.13,1739.55,2957.12,771.24,175.31,196.21,2024-07-20
203,1,8.0,1469.22,2680.63,683.25,117.73,247.85,2024-07-21
204,1,3.38,1618.44,3617.71,727.7,194.78,206.85,2024-07-22
205,1,3.24,1409.89,3238.31,736.8100000000001,122.6,293.28,2024-07-23
206,1,9.02,1639.99,2722.96,707.46,107.95,291.13,2024-07-24
207,1,1.3,1353.28,3016.83,839.77,158.48,204.0,2024-07-25
208,1,8.43,1363.06,2948.0099999999998,769.05,211.4,85.16,2024-07-26
209,1,3.1,1352.15,3027.68,713.2,174.17,160.97,2024-07-27
210,1,3.47,1354.98,3180.95,766.14,143.57999999999998,243.06,2024-07-28
211,1,2.08,1536.55,2763.1,782.44,170.53,167.21,2024-07-29
212,1,1.54,1500.59,2844.07,845.59,132.44,254.14000000000001,2024-07-30
213,1,0.6,1226.17,3117.8,744.9,170.5,167.9,2024-07-31
214,1,9.95,1554.97,2935.68,676.8,198.91,118.89,2024-08-01
215,1,1.07,1430.74,2575.95,682.88,155.15,158.67,2024-08-02
216,1,2.44,1389.12,3146.1,745.61,211.25,105.56,2024-08-03
217,1,8.5,1265.64,3259.25,708.65,181.82,159.72,2024-08-04
218,1,2.37,1707.79,2953.12,622.43,169.82,188.72,2024-08-05
219,1,6.86,1573.11,2678.33,500.44,175.72,123.8,2024-08-06
220,1,6.68,1321.85,2472.28,673.18,117.99,210.81,2024-08-07
221,1,4.21,1414.8,3994.41,714.2,186.48,239.37,2024-08-08
222,1,3.33,1743.42,3679.94,801.6,146.36,329.78,2024-08-09
223,1,4.7,1415.43,2858.4900000000002,832.27,163.19,184.18,2024-08-10
224,1,5.87,1330.22,2863.92,553.47,107.98,258.78,2024-08-11
225,1,6.68,1478.16,3044.13,799.08,148.39,235.37,2024-08-12
226,1,7.42,1408.64,3750.92,849.26,153.42,294.07,2024-08-13
227,1,2.96,1210.94,3308.9,653.7,128.23,260.89,2024-08-14
228,1,3.24,1436.2,2650.13,789.88,113.19,261.23,2024-08-15
229,1,5.78,1579.1,3015.2400000000002,709.74,113.92999999999999,302.56,2024-08-16
230,1,1.12,1301.06,3571.81,874.89,181.41,211.97,2024-08-17
231,1,3.11,1521.75,3368.17,696.48,157.8,243.02,2024-08-18
232,1,4.97,1376.99,3366.76,888.43,138.77,285.69,2024-08-19
233,1,0.83,1351.79,3177.62,804.16,170.77,191.79,2024-08-20
234,1,2.24,1296.95,3643.99,800.65,158.77,256.6,2024-08-21
235,1,8.0,1690.87,3002.49,754.6899999999999,148.88,247.03,2024-08-22
236,1,8.96,1377.18,2762.83,720.01,124.15,237.73,2024-08-23
237,1,9.28,1676.78,3443.28,919.49,149.28,305.37,2024-08-24
238,1,5.93,1663.36,3184.46,774.45,134.49,293.21,2024-08-25
239,1,2.36,1245.15,2721.96,859.33,134.49,213.65,2024-08-26
240,1,5.98,1565.89,3290.38,661.54,165.59,220.58999999999997,2024-08-27
241,1,2.48,1547.0,2998.76,808.7,132.92000000000002,269.61,2024-08-28
242,1,0.16,1137.55,3230.29,858.14,165.38,191.87,2024-08-29
243,1,1.56,1433.14,2722.89,817.71,99.94,297.5,2024-08-30
244,1,7.68,1576.23,2959.14,721.26,172.29,181.11,2024-08-31
245,1,6.37,1531.04,3470.39,787.1,136.07,306.72,2024-09-01
246,1,5.73,1400.27,2803.75,782.4300000000001,160.39,177.91,2024-09-02
247,1,3.67,1468.69,3022.02,700.74,125.94,267.26,2024-09-03
248,1,7.35,1598.91,3135.07,782.35,99.4,352.82,2024-09-04
249,1,3.65,1617.72,3223.46,803.11,185.64,193.18,2024-09-05
250,1,5.87,1579.17,3228.67,718.18,132.17,288.31,2024-09-06
251,1,4.68,1617.58,3139.28,693.43,193.3,158.41,2024-09-07
252,1,5.6,1438.23,2873.4700000000003,727.93,169.60999999999999,164.79,2024-09-08
253,1,4.98,1833.35,2874.69,718.13,167.26,208.06,2024-09-09
254,1,0.05,1356.43,3457.19,868.76,146.24,275.74,2024-09-10
255,1,6.74,1461.28,3307.22,750.84,194.81,162.32,2024-09-11
256,1,5.73,1515.22,3347.84,681.35,199.65,155.13,2024-09-12
257,1,8.65,1443.54,3207.73,629.4399999999999,193.06,141.97,2024-09-13
258,1,8.04,1398.83,2724.5,689.51,127.13,227.03,2024-09-14
259,1,5.01,1220.34,3110.6,697.44,183.94,134.94,2024-09-15
260,1,1.41,1697.78,3367.2,710.07,161.54,254.46,2024-09-16
261,1,5.46,1662.6499999999999,2827.72,767.83,137.78,250.26,2024-09-17
262,1,2.99,1659.08,2362.06,702.25,153.2,165.98,2024-09-18
263,1,2.74,1569.52,3185.94,705.3,130.13,285.83,2024-09-19
264,1,1.99,1290.61,3474.31,694.8,185.93,174.1,2024-09-20
265,1,5.48,1398.8,3129.12,590.39,169.85,172.13,2024-09-21
266,1,3.48,1547.43,3135.33,743.1,155.14,232.34,2024-09-22
267,1,9.82,1617.71,3263.94,668.79,162.49,230.06,2024-09-23
268,1,8.97,1524.51,3165.73,869.73,166.7,222.58,2024-09-24
269,1,5.94,1641.44,2858.55,716.3,154.66,212.34,2024-09-25
270,1,7.47,1476.76,2553.66,777.6800000000001,165.3,150.24,2024-09-26
271,1,7.66,1640.75,3031.51,664.97,137.54,258.65,2024-09-27
272,1,0.83,1421.61,3010.45,712.51,112.18,290.06,2024-09-28
273,1,9.16,1490.12,2514.97,780.74,108.49000000000001,261.61,2024-09-29
274,1,7.06,1585.63,3131.46,809.39,201.69,149.29,2024-09-30
275,1,7.21,1347.01,2834.66,743.17,163.61,165.31,2024-10-01
276,1,4.54,1378.35,2295.63,623.72,140.45,148.9,2024-10-02
277,1,5.82,1598.24,2862.97,753.33,121.68,278.1,2024-10-03
278,1,5.67,1677.16,2938.15,981.53,154.07,251.59,2024-10-04
279,1,6.17,1403.22,3050.7,732.36,181.75,155.18,2024-10-05
280,1,9.36,1693.27,3592.42,661.01,145.82999999999998,303.0,2024-10-06
281,1,7.83,1399.31,2970.82,882.3100000000001,173.19,178.92,2024-10-07
282,1,0.77,1601.12,3021.84,919.95,151.07,252.16,2024-10-08
283,1,3.29,1193.58,2809.87,824.61,141.31,200.18,2024-10-09
284,1,7.87,1316.66,3232.09,850.89,154.24,231.5,2024-10-10
285,1,7.58,1834.93,2888.01,805.49,162.84,227.15,2024-10-11
286,1,6.8,1382.77,2400.43,768.51,127.85,199.41,2024-10-12
287,1,6.19,1472.56,3309.39,710.14,140.33,268.58,2024-10-13
288,1,2.26,1695.4,2970.2799999999997,765.4,205.49,132.15,2024-10-14
289,1,1.93,1367.2,2840.05,797.53,112.48,275.55,2024-10-15
290,1,7.95,1586.65,3169.96,738.63,170.52,208.54,2024-10-16
291,1,6.34,1363.78,2900.81,793.2,130.17,245.39,2024-10-17
292,1,2.16,1585.19,2877.17,831.3,148.72,231.95999999999998,2024-10-18
293,1,9.07,1407.52,2956.04,831.59,211.32999999999998,96.87,2024-10-19
294,1,5.36,1651.22,3255.09,726.89,168.91,225.53,2024-10-20
295,1,3.36,1812.02,2995.31,770.4,172.71,212.32999999999998,2024-10-21
296,1,5.24,1375.15,2490.68,887.06,147.26,180.74,2024-10-22
297,1,6.35,1341.7,3280.89,762.77,159.84,218.87,2024-10-23
298,1,9.97,1347.42,2970.53,871.0,168.86,181.17000000000002,2024-10-24
299,1,2.83,1456.73,3273.85,792.84,146.57999999999998,259.18,2024-10-25
300,1,5.79,1425.4,2751.55,836.05,144.88,211.57,2024-10-26
301,1,6.81,1782.75,3134.91,689.9300000000001,178.87,203.01999999999998,2024-10-27
302,1,8.85,1461.53,3287.28,697.33,188.34,167.92,2024-10-28
303,1,6.42,1685.5,2956.96,730.93,166.89,203.59,2024-10-29
304,1,1.72,1526.94,3149.12,708.1,133.85,270.71,2024-10-30
305,1,5.42,1644.1299999999999,3126.07,803.33,211.43,134.51,2024-10-31
306,1,4.71,1538.98,3233.14,604.9,133.11,271.51,2024-11-01
307,1,9.59,1543.24,3076.13,657.49,165.3,197.13,2024-11-02
308,1,9.62,1465.41,3083.17,831.67,153.85,230.34,2024-11-03
309,1,2.76,1489.32,3223.83,879.87,186.91,185.46,2024-11-04
310,1,4.47,1537.34,2948.5499999999997,814.08,166.88,196.28,2024-11-05
311,1,4.24,1516.48,3157.02,730.2,204.25,131.89,2024-11-06
312,1,7.76,1374.57,2736.53,713.6,122.41,237.66,2024-11-07
313,1,3.4,1690.44,2729.7599999999998,847.0600000000001,154.38,217.98,2024-11-08
314,1,2.86,1718.31,2737.4700000000003,806.8,137.51,251.26,2024-11-09
315,1,3.14,1393.74,2879.07,781.38,143.02,219.4,2024-11-10
316,1,2.62,1606.4,3140.0,703.98,185.99,173.11,2024-11-11
317,1,2.85,1579.41,2805.24,629.29,155.28,190.8,2024-11-12
318,1,2.02,1642.27,3135.75,686.66,146.10999999999999,254.22,2024-11-13
319,1,2.89,1461.6699999999998,2543.25,787.76,185.81,107.63,2024-11-14
320,1,7.62,1516.67,2760.37,699.79,131.16,235.35,2024-11-15
321,1,2.04,1570.12,2918.19,709.3,149.72,220.34,2024-11-16
322,1,6.51,1616.42,3137.46,806.11,181.72,192.58,2024-11-17
323,1,7.36,1372.27,2978.08,758.4300000000001,149.78,211.32,2024-11-18
324,1,7.82,1582.65,2863.62,825.99,155.31,216.6,2024-11-19
325,1,9.84,1462.71,3068.01,775.15,125.95,278.68,2024-11-20
326,1,2.54,1613.8899999999999,2913.9500000000003,735.89,129.28,267.81,2024-11-21
327,1,1.85,1429.98,2722.33,677.5,152.37,178.18,2024-11-22
328,1,4.07,1709.09,3018.81,707.46,173.99,195.55,2024-11-23
329,1,0.61,1319.35,3700.11,760.98,168.48,241.1,2024-11-24
330,1,3.53,1484.01,3194.0099999999998,862.1800000000001,194.01,166.0,2024-11-25
331,1,8.43,1570.12,3186.13,771.82,146.47,259.84,2024-11-26
332,1,2.77,1426.76,2381.96,648.11,113.74000000000001,218.19,2024-11-27
333,1,9.75,1550.32,2812.45,763.32,175.65,161.34,2024-11-28
334,1,0.72,1289.7,2947.78,653.88,162.33,164.44,2024-11-29
335,1,7.08,1471.34,3404.17,838.66,187.37,196.65,2024-11-30
336,1,0.1,1140.74,3115.54,704.27,164.17,167.70000000000002,2024-12-01
337,1,3.83,1658.59,2935.28,747.6800000000001,192.87,148.43,2024-12-02
338,1,3.54,1595.37,3606.96,781.04,147.15,304.11,2024-12-03
339,1,9.11,1467.39,2726.01,750.56,193.71,106.97,2024-12-04
340,1,9.88,1330.15,3506.32,644.33,187.46,173.19,2024-12-05
341,1,8.5,1445.23,2981.52,733.32,167.55,180.9,2024-12-06
342,1,4.1,1571.86,2944.83,813.7,147.71,237.62,2024-12-07
343,1,6.61,1336.55,2660.03,866.51,124.83,236.63,2024-12-08
344,1,1.36,1741.46,3052.82,769.41,141.04,274.3,2024-12-09
345,1,2.46,1488.27,2794.34,766.43,151.87,201.15,2024-12-10
346,1,0.19,1575.34,3128.04,755.86,109.26,327.38,2024-12-11
347,1,8.12,1515.23,3302.34,751.21,172.7,211.48,2024-12-12
348,1,4.06,1479.93,3163.94,754.56,149.85,240.10999999999999,2024-12-13
349,1,5.01,1490.7,2511.61,801.83,115.81,248.79,2024-12-14
350,1,1.85,1567.81,3069.94,701.62,107.65,318.68,2024-12-15
351,1,1.06,1334.38,2542.51,808.05,164.35,139.79,2024-12-16
352,1,6.91,1397.71,2835.0,715.66,190.74,113.43,2024-12-17
353,1,1.24,1443.11,3159.41,806.93,216.36,108.25,2024-12-18
354,1,6.56,1929.12,3248.38,683.78,186.99,212.15,2024-12-19
355,1,3.42,1480.09,2596.02,744.79,168.96,144.20000000000002,2024-12-20
356,1,7.12,1336.14,2544.9900000000002,603.9,120.72,207.06,2024-12-21
357,1,0.59,1341.91,3414.47,723.17,154.89,238.19,2024-12-22
358,1,4.25,1521.53,3314.06,752.27,155.07,248.65,2024-12-23
359,1,5.8,1499.9,2952.55,799.33,163.04,199.07999999999998,2024-12-24
360,1,7.6,1546.6,3191.4900000000002,827.74,209.92,136.78,2024-12-25
361,1,7.71,1756.73,3107.77,756.03,151.35,259.31,2024-12-26
362,1,9.64,1322.05,3090.25,586.83,150.76,198.41,2024-12-27
363,1,8.02,1654.28,2991.48,708.86,148.32,238.87,2024-12-28
